ID,AUTHOR,DATE,TIME,LAT,LONG,DEPTH,WAVE TYPE,MW
,,,,,,,,
16957715,CENT     ,17/09/1900,0.90625,-5.8441,144,0,Mw    ,9
16957715,CENT     ,17/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957716,CENT     ,18/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957717,CENT     ,19/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957718,CENT     ,20/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957719,CENT     ,21/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957720,CENT     ,22/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957721,CENT     ,23/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957722,CENT     ,24/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957723,CENT     ,25/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957724,CENT     ,26/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957725,CENT     ,27/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957726,CENT     ,28/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957727,CENT     ,29/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957728,CENT     ,30/09/1900,0.90625,-5,148,0,Mw    ,7.1
16957729,CENT     ,1/10/1900,0.90625,-5,148,0,Mw    ,7.1
16957730,CENT     ,2/10/1900,0.90625,-5,148,0,Mw    ,7.1
16957731,CENT     ,3/10/1900,0.90625,-5,148,0,Mw    ,7.1
16957732,CENT     ,4/10/1900,0.90625,-5,148,0,Mw    ,7.1
16957733,CENT     ,5/10/1900,0.90625,-5,148,0,Mw    ,7.1
16957734,CENT     ,6/10/1900,0.90625,-5,148,0,Mw    ,7.1
16957735,CENT     ,7/10/1900,0.90625,-5,148,0,Mw    ,7.1
16957736,CENT     ,8/10/1900,0.90625,-5,148,0,Mw    ,7.1
16957737,CENT     ,9/10/1900,0.90625,-5,148,0,Mw    ,7.1
16957738,CENT     ,10/10/1900,0.90625,-5,148,0,Mw    ,7.1
16957739,CENT     ,11/10/1900,0.90625,-5,148,0,Mw    ,7.1
